rank,stadium,capacity,region,country,city,images,home_team,location
189,Hampden Park,51866,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Hampden_Park%2C_January_2023.jpg/220px-Hampden_Park%2C_January_2023.jpg,"Scotland national football team, Queen's Park F.C.","[55.82574505, -4.2519787945]"
190,Estadio Monumental de Maturín,51796,South America,Venezuela,Maturín,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Monumental_de_maturin_3.jpg/220px-Monumental_de_maturin_3.jpg,Monagas Sport Club,"[9.7422774, -63.1888854]"
191,Loftus Versfeld Stadium,51762,Africa,South Africa,"Pretoria, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Loftus_Versfeld_Game_Night.JPG/220px-Loftus_Versfeld_Game_Night.JPG,SuperSport United and Vodacom Pretoria Bulls,"[-25.75323475, 28.2229327477]"
192,Aviva Stadium,51700,Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Aviva_Stadium_Panoramic.jpg/220px-Aviva_Stadium_Panoramic.jpg,"Leinster Rugby, Republic of Ireland national football team, Ireland national rugby union team","[53.3352331, -6.2281784715]"
193,Guiyang Olympic Sports Centre Stadium,51638,East Asia,China,"Guiyang, Guizhou",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Guiyang_Olympic_Sports_Center.jpg/220px-Guiyang_Olympic_Sports_Center.jpg,,"[26.6206664, 106.605846725]"
194,Hohhot City Stadium,51632,East Asia,China,"Hohhot, Inner Mongolia",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Hohhot_City_Stadium.jpg/220px-Hohhot_City_Stadium.jpg,,"[40.85113965, 111.6504625053]"
195,Rajamangala National Stadium,51552,Southeast Asia,Thailand,Bangkok,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Rajamangala_Stadium_Panorama.jpg/220px-Rajamangala_Stadium_Panorama.jpg,Thailand national football team,"[13.7524938, 100.4935089]"
196,Donbass Arena,51504,Europe,Ukraine,Donetsk,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Donbass_Arena.jpg/220px-Donbass_Arena.jpg,,"[48.02110375, 37.8090531358]"
197,Deutsche Bank Park,51500,Europe,Germany,Frankfurt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG/220px-Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG,Eintracht Frankfurt,"[50.06859935, 8.6454629521]"
198,Estadio Presidente Juan Domingo Perón,51389,South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Panoramica_Cilindro.jpg/220px-Panoramica_Cilindro.jpg,Racing Club de Avellaneda,"[-34.6673628, -58.3685179443]"
199,İzmir Atatürk Stadyumu,51295,West Asia,Turkey,İzmir,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg/220px-%C4%B0zmir_Atat%C3%BCrk_Stadyumu.jpg,"Altay SK, Göztepe AŞ","[38.43498345, 27.17801135]"
200,Stadion Feijenoord,51117,Europe,Netherlands,Rotterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Rotterdam_De_Kuip_1.jpg/220px-Rotterdam_De_Kuip_1.jpg,Feyenoord,"[51.8938646, 4.52322813]"
201,Estadio BBVA,51000,North America,Mexico,Monterrey,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Estadio_BBVA.jpg/220px-Estadio_BBVA.jpg,CF Monterrey,"[25.66911025, -100.244355943]"
202,Ghadir Stadium,51000,West Asia,Iran,Ahvaz,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Al-Ghadeer_Stadium.jpg/220px-Al-Ghadeer_Stadium.jpg,Foolad FC,"[31.3230637, 48.67932]"
203,Estádio Beira-Rio,50942,South America,Brazil,Porto Alegre. Rio Grande do Sul,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg/220px-Beira-Rio-Stadium-Porto-Alegre-Brazil.jpg,SC Internacional,"[-21.28552135, -42.5523529548]"
204,Ibrox Stadium,50817,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Rangers-SM_%281%29.jpg/220px-Rangers-SM_%281%29.jpg,Rangers F.C.,"[55.85322665, -4.3092146406]"
205,Shizuoka Stadium,50889,East Asia,Japan,"Fukuroi, Shizuoka",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ecopa030304.jpg/220px-Ecopa030304.jpg,"Júbilo Iwata, Shimizu S-Pulse, Shizuoka Blue Revs","[34.74343045, 137.9707288954]"
206,Ernst-Happel-Stadion,50865,Europe,Austria,Vienna,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg/220px-EM_2008_Elfmeter_Kroatien_%C3%96sterreich.jpg,Austria national football team,"[48.2071637, 16.4196425662]"
207,Huntington Bank Stadium,50805,North America,United States,Minneapolis,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/MNUFCTCF.jpeg/220px-MNUFCTCF.jpeg,Minnesota Golden Gophers football,"[44.97653965, -93.2231906825]"
208,Estadio Cuauhtémoc,50754,North America,Mexico,Puebla,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Rampa_norte.jpg/220px-Rampa_norte.jpg,Puebla FC,"[19.07798325, -98.1643375101]"
209,Friends Arena,50653,Europe,Sweden,Solna,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/FriendsArena_SwedenSpain.jpg/220px-FriendsArena_SwedenSpain.jpg,"Sweden national football team, AIK Fotboll","[59.37250385, 18.0016672389]"
210,Ülker Stadyumu,50509,West Asia,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Sukrusaracoglu.jpg/220px-Sukrusaracoglu.jpg,Fenerbahçe,"[40.98758065, 29.0369772993]"
211,Stanford Stadium,50424,North America,United States,"Palo Alto, California",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/2008-1115-006-USC-Stanford-PAN.jpg/220px-2008-1115-006-USC-Stanford-PAN.jpg,,"[37.43453005, -122.1611629673]"
212,Stade Pierre-Mauroy,50186,Europe,France,Villeneuve-d'Ascq,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Mauroy_Stadium_Eurobasket_2015.JPG/220px-Mauroy_Stadium_Eurobasket_2015.JPG,Lille OSC,"[50.61190435, 3.1305079515]"
213,King Baudouin Stadium,50122,Europe,Belgium,Brussels,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Stade_Roi_Baudouin.JPG/220px-Stade_Roi_Baudouin.JPG,Belgium national football team,"[50.89572205, 4.3341279219]"
214,Shaanxi Province Stadium,50100,East Asia,China,"Xi'an, Shaanxi",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[34.2340645, 108.9374555724]"
215,Ajinomoto Stadium,50100,East Asia,Japan,"Chofu, Tokyo",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ajinomoto_Stadium_2018-13.jpg/220px-Ajinomoto_Stadium_2018-13.jpg,"FC Tokyo, Tokyo Verdy, Tokyo Sungoliath, Toshiba Brave Lupus Tokyo","[35.66418645, 139.5270751782]"
216,Estádio José Alvalade,50095,Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Alvalade0023.jpg/220px-Alvalade0023.jpg,Sporting CP,"[38.7612164, -9.1607831347]"
217,Estádio do Dragão,50033,Europe,Portugal,Porto,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg/220px-Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg,FC Porto,"[41.16182355, -8.5837491985]"
218,Itaipava Arena Fonte Nova,50025,South America,Brazil,"Salvador, Bahia",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Arena_Fonte_Nova_External_View.jpg/220px-Arena_Fonte_Nova_External_View.jpg,EC Bahia,"[-12.97888575, -38.503482173]"
219,Stade Olympique de Sousse,50000,Africa,Tunisia,Sousse,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Stade_olympique_de_Sousse.jpg/220px-Stade_olympique_de_Sousse.jpg,Étoile du Sahel,"[35.82349385, 10.6135121336]"
220,RheinEnergieSTADION,50000,Europe,Germany,Cologne,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/FIFA_WM06_Stadion_Koeln.jpg/220px-FIFA_WM06_Stadion_Koeln.jpg,1. FC Köln,"[50.9335055, 6.8751167403]"
221,Harbin Sports City Center Stadium,50000,East Asia,China,"Harbin, Heilongjiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Harbin Yiteng,"[45.7593633, 126.6276177]"
222,Greenfield International Stadium,50000,South Asia,India,Trivandrum,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Greenfield_International_Stadium_Kerala.jpg/220px-Greenfield_International_Stadium_Kerala.jpg,,"[8.5714901, 76.8844034693]"
223,EMS Stadium,50000,South Asia,India,Kozhikode,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kozhikode_EMS_Stadium.jpg/220px-Kozhikode_EMS_Stadium.jpg,"India national football team, Gokulam Kerala FC","[11.2563999, 75.7856251492]"
224,KD Singh Babu Stadium,50000,South Asia,India,Lucknow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/K_D_Singh_Babu_Stadium.jpg/220px-K_D_Singh_Babu_Stadium.jpg,,"[26.8539449, 80.9368084]"
225,Eden Park,50000,Oceania,New Zealand,Auckland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Auckland_EdenPark.jpg/220px-Auckland_EdenPark.jpg,"Auckland Blues, New Zealand Warriors","[-36.8750352, 174.7440567127]"
226,Estádio 11 de Novembro,50000,Africa,Angola,Luanda,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Football_stadium_%286178263468%29.jpg/220px-Football_stadium_%286178263468%29.jpg,"Angola national football team, Primeiro de Agosto, Petro Luanda","[-8.96987855, 13.2835846847]"
227,Henan Provincial Stadium,50000,East Asia,China,"Zhengzhou, Henan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[34.83750225, 113.6228539023]"
228,Jiangxi Olympic Sports Center,50000,East Asia,China,"Nanchang, Jiangxi",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[28.6472124, 116.0348483]"
229,Max-Morlock-Stadion,50000,Europe,Germany,Nuremberg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Frankenstadion_2.JPG/220px-Frankenstadion_2.JPG,1. FC Nürnberg,"[49.42625695, 11.1256705957]"
230,June 11 Stadium,50000,Africa,Libya,Tripoli,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/11_June_Stadium_BenTaher.jpg/220px-11_June_Stadium_BenTaher.jpg,"Libya, Al-Ahly SC, Al-Ittihad Tripoli, Al-Madina SC","[32.85990575, 13.1359000473]"
231,Xinjiang Sports Centre Stadium,50000,East Asia,China,"Urumqi, Xinjiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[43.419754, 87.319461]"
232,Kim Il-sung Stadium,50000,East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/North_Korea_v_Philippines%2C_8_October_2015_F.png/220px-North_Korea_v_Philippines%2C_8_October_2015_F.png,Pyongyang City Sports Club,"[39.04385845, 125.7577377209]"
233,Hiroshima Big Arch,50000,East Asia,Japan,Hiroshima,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Big_Arch_Stadium_Panorama.jpg/220px-Big_Arch_Stadium_Panorama.jpg,Sanfrecce Hiroshima,"[34.3917241, 132.4517589]"
234,Pars Shiraz Stadium,50000,West Asia,Iran,Shiraz,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Pars_Stadium_Photos_Image_6.jpg/220px-Pars_Stadium_Photos_Image_6.jpg,Fajr Sepasi Shiraz FC,"[29.6060218, 52.5378041]"
235,Stade du 26 Mars,50000,Africa,Mali,Bamako,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Stade_du_26-mars.png/220px-Stade_du_26-mars.png,Stade Malien,"[12.6043766, -7.9217373945]"
236,Diamniadio Olympic Stadium,50000,Africa,Senegal,Dakar,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Stade_Abdoulaye_Wade.jpg/220px-Stade_Abdoulaye_Wade.jpg,Senegal national football team,"[14.693425, -17.447938]"
237,Sultan Mizan Zainal Abidin Stadium,50000,Southeast Asia,Malaysia,Kuala Terengganu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg/220px-Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg,Terengganu FA,"[5.36971345, 103.1056811603]"
238,Estadio Akron,49850,North America,Mexico,Guadalajara,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Omnilife_Stadium.png/220px-Omnilife_Stadium.png,C.D. Guadalajara,"[20.68177085, -103.4618463599]"
239,Levy Mwanawasa Stadium,49800,Africa,Zambia,Lusaka,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Zesco United,"[-12.97553125, 28.611226774]"
240,Fritz-Walter-Stadion,49780,Europe,Germany,Kaiserslautern,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Kaiserslautern_18.JPG/220px-Kaiserslautern_18.JPG,1. FC Kaiserslautern,"[49.4345739, 7.7766235352]"
241,José Amalfitani Stadium,49540,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Argentina_A_vs_Inglaterra_A_02.JPG/220px-Argentina_A_vs_Inglaterra_A_02.JPG,CA Vélez Sársfield,"[-34.6353382, -58.520678813]"
242,Camille Chamoun Sports City Stadium,49500,West Asia,Lebanon,Beirut,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png/220px-Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png,"Lebanon national football team, Al Ahed FC, Al Ansar FC, Nejmeh SC","[33.86707815, 35.4951176168]"
243,Miyagi Stadium,49133,East Asia,Japan,"Rifu, Miyagi",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/MiyagiStadiumTrackField.jpg/220px-MiyagiStadiumTrackField.jpg,Vegalta Sendai,"[38.3353656, 140.9503846084]"
244,Incheon Munhak Stadium,49084,East Asia,South Korea,Incheon,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Munhak_Stadium_Corner.jpg/220px-Munhak_Stadium_Corner.jpg,,"[37.4350773, 126.6907515569]"
245,Heinz-von-Heiden-Arena,49000,Europe,Germany,Hanover,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/HDI_Arena%2C_WM_Stadion_2006.jpg/220px-HDI_Arena%2C_WM_Stadion_2006.jpg,Hannover 96,"[52.36002595, 9.7310160501]"
246,Parc des Princes,48712,Europe,France,Paris,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/PSG-Nantes_Parc_des_Princes_05.jpg/220px-PSG-Nantes_Parc_des_Princes_05.jpg,Paris Saint-Germain F.C.,"[48.8413634, 2.2530693162]"
247,Stadium of Light,48707,Europe,England,"Sunderland, Tyne and Wear",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Stadium_of_Light%2C_Sunderland_afc.jpg/220px-Stadium_of_Light%2C_Sunderland_afc.jpg,Sunderland A.F.C.,"[54.9143953, -1.3882579326]"
248,Estadio Nacional de Chile,48665,South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Adios_Matador.jpg/220px-Adios_Matador.jpg,"Chile national football team, CF Universidad de Chile","[-33.4643563, -70.612147]"
249,Nelson Mandela Bay Stadium,48459,Africa,South Africa,"Port Elizabeth, Eastern Cape",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg/220px-Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg,Chippa United FC,"[-33.93779205, 25.599408729]"
250,Estadio Tomás Adolfo Ducó,48314,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Estadio_huracan_interior_tribuna_gcba.jpg/220px-Estadio_huracan_interior_tribuna_gcba.jpg,CA Huracán,"[-34.64348385, -58.3965218912]"
251,Jinnah Sports Stadium,48200,South Asia,Pakistan,Islamabad,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Jinnah_Sports_Stadium_track_and_field.jpg/220px-Jinnah_Sports_Stadium_track_and_field.jpg,Pakistan national football team,"[33.7003594, 73.0928398394]"
252,Estadio Libertadores de América,48069,South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Estadio_Libertadores_de_America_2014.JPG/220px-Estadio_Libertadores_de_America_2014.JPG,Club Atlético Independiente,"[-34.67029665, -58.3710408655]"
253,Free State Stadium,48000,Africa,South Africa,"Bloemfontein, Free State",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Free_State_Stadium1.jpg/220px-Free_State_Stadium1.jpg,"Bloemfontein Celtic, Toyota Cheetahs","[-29.1172351, 26.208769567]"
254,Nagai Stadium,47816,East Asia,Japan,Osaka,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Nagai_stadium20040717.jpg/220px-Nagai_stadium20040717.jpg,"Cerezo Osaka, NTT DoCoMo Red Hurricanes Osaka","[34.61413695, 135.5185174863]"
255,Neo Química Arena,47605,South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg/220px-Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg,Corinthians,"[-23.5452934, -46.4742864364]"
256,Rogers Centre,47568,North America,Canada,"Toronto, Ontario",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Toronto_-_ON_-_Rogers_Centre2.jpg/220px-Toronto_-_ON_-_Rogers_Centre2.jpg,"Toronto FC, Toronto Argonauts","[43.64165985, -79.3891976192]"
257,Estadio Monumental David Arellano,47347,South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Monumental_2009.jpg/220px-Estadio_Monumental_2009.jpg,Colo-Colo,"[-33.4377756, -70.6504502]"
258,Stadio Artemio Franchi,47282,Europe,Italy,Florence,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Soccer_in_Florence%2C_Italy%2C_2007.jpg/220px-Soccer_in_Florence%2C_Italy%2C_2007.jpg,ACF Fiorentina,"[43.3217335, 11.3262589554]"
259,Estadio Ciudad de Lanús – Néstor Díaz Pérez,47027,South America,Argentina,Lanús,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG/220px-Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG,CA Lanús,"[-34.71765845, -58.3839561641]"
260,Estadio Metropolitano Roberto Meléndez,46788,South America,Colombia,Barranquilla,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Estadio_Metropolitano_de_Baranquilla_2011.jpg/220px-Estadio_Metropolitano_de_Baranquilla_2011.jpg,"Colombia national football team, Atlético Junior","[10.9269548, -74.8005111089]"
261,Estádio Olímpico Nilton Santos,46831,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg/220px-Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg,Botafogo FR,"[-22.893194, -43.2935690869]"
262,Itaipava Arena Pernambuco,46154,South America,Brazil,"São Lourenço da Mata, Pernambuco",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Panorama_of_Arena_Pernambuco.jpg/220px-Panorama_of_Arena_Pernambuco.jpg,Náutico,"[-8.04072965, -35.0082334312]"
263,Arena MRV,46000,South America,Brazil,"Belo Horizonte, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg/220px-Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg,C Atlético Mineiro,"[-19.9300116, -44.013881302]"
264,Prudentão,45954,South America,Brazil,"Presidente Prudente, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg/220px-Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg,Grêmio Prudente,"[-22.098568, -51.4150621425]"
265,Stade Mohammed V,45891,Africa,Morocco,Casablanca,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Stade_Mohamed_V%2C_Casablanca.jpg/220px-Stade_Mohamed_V%2C_Casablanca.jpg,Morocco national football team,"[34.0640199, -6.7884859382]"
266,Estadio Atanasio Girardot,45739,South America,Colombia,Medellín,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Atanasio_Girardot_Stadium.jpg/220px-Atanasio_Girardot_Stadium.jpg,"Atlético Nacional, Independiente Medellín","[6.2567716, -75.59016945]"
267,Estadio Nacional,45574,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Estadio_Nacional_nuevo_07_10_2011.jpg/220px-Estadio_Nacional_nuevo_07_10_2011.jpg,Peru national football team,"[-12.0673803, -77.0337830272]"
268,Estadio Ramón Sánchez Pizjuán,45500,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sevilla2-1Lega20182.jpg/220px-Sevilla2-1Lega20182.jpg,Sevilla FC,"[37.3840876, -5.9706309025]"
269,Adrar Stadium,45480,Africa,Morocco,Agadir,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Stade-Adrar2019.png/220px-Stade-Adrar2019.png,Hassania Agadir,"[30.4274409, -9.5402539946]"
270,Otkritie Bank Arena,45360,Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Match_veteranov_Spartaka_%2813%29.jpg/220px-Match_veteranov_Spartaka_%2813%29.jpg,Spartak Moscow,"[55.81758845, 37.4406099279]"
271,Grand stade de Marrakech,45240,Africa,Morocco,Marrakesh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Stade_de_marrakech.jpg/220px-Stade_de_marrakech.jpg,Kawkab Marrakech,"[31.7070143, -7.980359]"
272,Mandela National Stadium,45202,Africa,Uganda,Kampala,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Mandela_National_Stadium%2C_Uganda.JPG/220px-Mandela_National_Stadium%2C_Uganda.JPG,Uganda national football team,"[0.3177137, 32.5813539]"
273,Tarczyński Arena Wrocław,45105,Europe,Poland,Wrocław,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg/220px-Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg,Śląsk Wrocław,"[51.14118615, 16.9438066875]"
274,Kazan Arena,45105,Europe,Russia,Kazan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Poland_v._Colombia_%2842095441565%29.jpg/220px-Poland_v._Colombia_%2842095441565%29.jpg,Rubin Kazan,"[55.8209813, 49.1549659]"
275,Stadion Gelora Bung Tomo,45000,Southeast Asia,Indonesia,"Surabaya, East Java",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Koreo_Bonek_2018.jpg/220px-Koreo_Bonek_2018.jpg,Persebaya Surabaya,"[-7.2230647, 112.622833]"
276,Stadion Harapan Banga,45000,Southeast Asia,Indonesia,"Banda Aceh, Aceh",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Persiraja, Aceh United","[5.5528455, 95.3192908]"
277,Estadio General Pablo Rojas,45000,South America,Paraguay,Asunción,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Estadio_General_Pablo_Rojas.jpg/220px-Estadio_General_Pablo_Rojas.jpg,Club Cerro Porteño,"[-25.2999926, -57.6376558181]"
278,Stade Mohammed V,45000,Africa,Morocco,Casablanca,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Stade_Mohamed_V%2C_Casablanca.jpg/220px-Stade_Mohamed_V%2C_Casablanca.jpg,"Wydad Casablanca, Raja Casablanca","[33.5945144, -7.6200284]"
279,Latakia Sports City Stadium,45000,West Asia,Syria,Latakia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Latakia_Sports_City_Stadium.jpg/220px-Latakia_Sports_City_Stadium.jpg,,"[35.5200185, 35.7781044]"
280,Zibo Sports Centre Stadium,45000,East Asia,China,"Zibo, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[36.8132476, 117.9828384209]"
281,Weifang Sports Centre Stadium,45000,East Asia,China,"Weifang, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[36.72898265, 119.0630790298]"
282,Yantai Sports Park Stadium,45000,East Asia,China,"Yantai, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[37.462892, 121.4535599361]"
283,Stadium Tuanku Abdul Rahman,45000,Southeast Asia,Malaysia,Seremban,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg/220px-Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg,"ATM FA, Negeri Sembilan","[2.72623985, 101.9826176637]"
284,Stade du Complexe sportif de Fès,45000,Africa,Morocco,Fes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Complexe_sportif_de_F%C3%A8s.jpg/220px-Complexe_sportif_de_F%C3%A8s.jpg,"Wydad de Fès, Maghreb de Fès","[34.00272, -4.9689618203]"
285,Lagos National Stadium,45000,Africa,Nigeria,Lagos,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Main-bowl-national-stadium-surulere-lagos.jpg/220px-Main-bowl-national-stadium-surulere-lagos.jpg,Nigeria national football team,"[6.49714245, 3.3649880389]"
286,Egyptian Army Stadium,45000,Africa,Egypt,Suez,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[29.974498, 32.537086]"
287,Toyota Stadium,45000,East Asia,Japan,"Toyota City, Aichi",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/JPNxGEO20180623_%283%29.jpg/220px-JPNxGEO20180623_%283%29.jpg,"Nagoya Grampus, Toyota Verblitz","[35.0845879, 137.1708735346]"
